##Supplementary Table 1. Accession numbers of YKOC colonies sequenced.		
##LEGEND		
##Deletion_Strain	Unique ID identifying the KO strain from which colonies were derived	
##SD_code	Unique ID identifying a single colony	
##ERS accession number	Accession code to download data from the European Nucleotide Archive	
#Deletion_Strain	SD_code	ERS accession number
Del289_VFA1	SD1151b2	ERS864142
Del290_SAK1	SD1152b	ERS864143
Del290_SAK1	SD1152b2	ERS864144
Del291_COM2	SD1153b	ERS864145
Del291_COM2	SD1153b2	ERS864146
Del292_RPS26B	SD1154b	ERS864147
Del292_RPS26B	SD1154b2	ERS864148
Del293_PMD1	SD1155b	ERS864149
Del293_PMD1	SD1155b2	ERS864150
Del294_YER134C	SD1156b	ERS864151
Del294_YER134C	SD1156b2	ERS864152
Del295_YER135C	SD1157b	ERS864153
Del295_YER135C	SD1157b2	ERS864154
Del296_YER137C	SD1158b	ERS864155
Del296_YER137C	SD1158b2	ERS864156
Del297_RTR1	SD1159b	ERS864157
Del297_RTR1	SD1159b2	ERS864158
Del298_EMP65	SD1160b	ERS864159
Del298_EMP65	SD1160b2	ERS864160
Del300_MAG1	SD1162b	ERS864161
Del300_MAG1	SD1162b2	ERS864162
Del301_DDI1	SD1163b	ERS864163
Del301_DDI1	SD1163b2	ERS864164
Del302_FTR1	SD1164b	ERS864165
Del302_FTR1	SD1164b2	ERS864166
Del303_PEA2	SD1165b	ERS864167
Del303_PEA2	SD1165b2	ERS864168
Del304_SPI1	SD1166b	ERS864169
Del304_SPI1	SD1166b2	ERS864170
Del305_UBP3	SD1167b	ERS864171
